WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.8188854333 -41.3323722667),1606660,AIMS,1701096,4B,Ngatiapa Street,"4B Ngatiapa Street, Strathmore Park, Wellington",Wellington City,,,,,,4,B,,,Ngatiapa,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8188854,-41.33237227,Ngatiapa,,,Strathmore Park,Wellington,Ngatiapa Street,"4B Ngatiapa Street, Strathmore Park, Wellington",174.8188854,-41.33237227
POINT (174.819057 -41.3322074667),1606661,AIMS,1701097,4C,Ngatiapa Street,"4C Ngatiapa Street, Strathmore Park, Wellington",Wellington City,,,,,,4,C,,,Ngatiapa,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.819057,-41.33220747,Ngatiapa,,,Strathmore Park,Wellington,Ngatiapa Street,"4C Ngatiapa Street, Strathmore Park, Wellington",174.819057,-41.33220747
POINT (174.8182984 -41.3312681167),1606764,AIMS,1701120,12C,Rahui Street,"12C Rahui Street, Strathmore Park, Wellington",Wellington City,,,,,,12,C,,,Rahui,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8182984,-41.33126812,Rahui,,,Strathmore Park,Wellington,Rahui Street,"12C Rahui Street, Strathmore Park, Wellington",174.8182984,-41.33126812
POINT (174.81807945 -41.3312133333),1606765,AIMS,1701121,12B,Rahui Street,"12B Rahui Street, Strathmore Park, Wellington",Wellington City,,,,,,12,B,,,Rahui,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8180795,-41.33121333,Rahui,,,Strathmore Park,Wellington,Rahui Street,"12B Rahui Street, Strathmore Park, Wellington",174.8180795,-41.33121333
POINT (174.8182114 -41.3310997167),1606766,AIMS,1701122,12A,Rahui Street,"12A Rahui Street, Strathmore Park, Wellington",Wellington City,,,,,,12,A,,,Rahui,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8182114,-41.33109972,Rahui,,,Strathmore Park,Wellington,Rahui Street,"12A Rahui Street, Strathmore Park, Wellington",174.8182114,-41.33109972
POINT (174.8179853667 -41.3317005833),1607307,AIMS,1798930,1/6,Rahui Street,"1/6 Rahui Street, Strathmore Park, Wellington",Wellington City,,1,,,,6,,,,Rahui,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8179854,-41.33170058,Rahui,,,Strathmore Park,Wellington,Rahui Street,"1/6 Rahui Street, Strathmore Park, Wellington",174.8179854,-41.33170058
POINT (174.8175315167 -41.3335283833),1631124,AIMS,1707265,23B,Taiaroa Street,"23B Taiaroa Street, Strathmore Park, Wellington",Wellington City,,,,,,23,B,,,Taiaroa,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8175315,-41.33352838,Taiaroa,,,Strathmore Park,Wellington,Taiaroa Street,"23B Taiaroa Street, Strathmore Park, Wellington",174.8175315,-41.33352838
POINT (174.8175361833 -41.3336241333),1631126,AIMS,1707267,23C,Taiaroa Street,"23C Taiaroa Street, Strathmore Park, Wellington",Wellington City,,,,,,23,C,,,Taiaroa,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8175362,-41.33362413,Taiaroa,,,Strathmore Park,Wellington,Taiaroa Street,"23C Taiaroa Street, Strathmore Park, Wellington",174.8175362,-41.33362413
POINT (174.8180132333 -41.33146145),1661683,AIMS,1418380,8,Rahui Street,"8 Rahui Street, Strathmore Park, Wellington",Wellington City,,,,,,8,,,,Rahui,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.8180132,-41.33146145,Rahui,,,Strathmore Park,Wellington,Rahui Street,"8 Rahui Street, Strathmore Park, Wellington",174.8180132,-41.33146145
POINT (174.8190950167 -41.3329126667),1664172,AIMS,1714635,15A,Tukanae Street,"15A Tukanae Street, Strathmore Park, Wellington",Wellington City,,,,,,15,A,,,Tukanae,Street,,,,Strathmore Park,Wellington,Thoroughfare,Current,174.819095,-41.33291267,Tukanae,,,Strathmore Park,Wellington,Tukanae Street,"15A Tukanae Street, Strathmore Park, Wellington",174.819095,-41.33291267
